Zip,Offence,count,x_coordinate,y_coordinate
78744,Robbery,51,30.18,-97.73
78744,Theft,1256,30.18,-97.73
78745,"Agg Assault",141,30.2154,-97.796
78745,"Auto Theft",143,30.2154,-97.796
78745,Burglary,377,30.2154,-97.796
78745,Murder,4,30.2154,-97.796
78745,Robbery,34,30.2154,-97.796
78745,Theft,1699,30.2154,-97.796
78746,"Agg Assault",5,30.2962,-97.8299
78746,"Auto Theft",32,30.2962,-97.8299
78746,Burglary,54,30.2962,-97.8299
78746,Robbery,10,30.2962,-97.8299
78746,Theft,710,30.2962,-97.8299
78747,"Agg Assault",21,30.1275,-97.7308
78747,"Auto Theft",18,30.1275,-97.7308
78747,Burglary,75,30.1275,-97.7308
78747,Robbery,1,30.1275,-97.7308
78747,Theft,156,30.1275,-97.7308
78748,"Agg Assault",41,30.1682,-97.8178
78748,"Auto Theft",58,30.1682,-97.8178
78748,Burglary,137,30.1682,-97.8178
78748,Robbery,21,30.1682,-97.8178
78748,Theft,1266,30.1682,-97.8178
78749,"Agg Assault",28,30.2175,-97.8558
78749,"Auto Theft",40,30.2175,-97.8558
78749,Burglary,71,30.2175,-97.8558
78749,Robbery,11,30.2175,-97.8558
78749,Theft,685,30.2175,-97.8558
78750,"Agg Assault",13,30.4271,-97.8014
78750,"Auto Theft",10,30.4271,-97.8014
78750,Burglary,59,30.4271,-97.8014
78750,Robbery,3,30.4271,-97.8014
78750,Theft,324,30.4271,-97.8014
78751,"Agg Assault",24,30.3056,-97.7254
78751,"Auto Theft",51,30.3056,-97.7254
78751,Burglary,95,30.3056,-97.7254
78751,Robbery,14,30.3056,-97.7254
78751,Theft,728,30.3056,-97.7254
78752,"Agg Assault",81,30.3317,-97.7052
78752,"Auto Theft",86,30.3317,-97.7052
78752,Burglary,175,30.3317,-97.7052
78752,Murder,3,30.3317,-97.7052
78752,Robbery,45,30.3317,-97.7052
78752,Theft,770,30.3317,-97.7052
78753,"Agg Assault",183,30.389,-97.6711
78753,"Auto Theft",170,30.389,-97.6711
78753,Burglary,449,30.389,-97.6711
78753,Murder,3,30.389,-97.6711
78753,Robbery,100,30.389,-97.6711
78753,Theft,2526,30.389,-97.6711
78754,"Agg Assault",21,30.3559,-97.6494
78754,"Auto Theft",24,30.3559,-97.6494
78754,Burglary,90,30.3559,-97.6494
78754,Murder,1,30.3559,-97.6494
78754,Robbery,3,30.3559,-97.6494
78754,Theft,280,30.3559,-97.6494
78756,"Agg Assault",6,30.3248,-97.739
78756,"Auto Theft",17,30.3248,-97.739
78756,Burglary,65,30.3248,-97.739
78756,Robbery,5,30.3248,-97.739
78756,Theft,257,30.3248,-97.739
78757,"Agg Assault",35,30.3568,-97.7308
78757,"Auto Theft",61,30.3568,-97.7308
78757,Burglary,157,30.3568,-97.7308
78757,Robbery,19,30.3568,-97.7308
78757,Theft,908,30.3568,-97.7308
78758,"Agg Assault",165,30.3871,-97.7037
78758,"Auto Theft",176,30.3871,-97.7037
78758,Burglary,365,30.3871,-97.7037
78758,Murder,1,30.3871,-97.7037
78758,Robbery,93,30.3871,-97.7037
78758,Theft,1721,30.3871,-97.7037
78759,"Agg Assault",24,30.4014,-97.7525
78759,"Auto Theft",53,30.4014,-97.7525
78759,Burglary,175,30.4014,-97.7525
78759,Robbery,16,30.4014,-97.7525
78759,Theft,1128,30.4014,-97.7525
